PSNR,SSIM,RMSE,SAM,LPIPS,zone,model,month,ps_date,sr_date,delta_days,coverage
16.232870789392226,0.036944196612921754,1443.5123291015625,7.793186187744141,0.5660498142242432,zone_3_betterave,sen2srlite,2020-02,2020-02-18,2020-02-05,13,0.981685327849642
25.14194236130698,0.686655006694314,357.83343505859375,7.316431999206543,0.46403154730796814,zone_3_betterave,bicubic_baseline,2020-02,2020-02-18,2020-02-20,2,0.981685327849642
16.232900179703147,0.03694739481165764,1443.5084228515625,7.772390365600586,0.5635100603103638,zone_3_betterave,sen2srlite,2020-02,2020-02-18,2020-02-10,8,0.981685327849642
16.232939731754954,0.03695196006621496,1443.50439453125,7.70525598526001,0.5578406453132629,zone_3_betterave,sen2srlite,2020-02,2020-02-18,2020-02-15,3,0.981685327849642
16.232979164596863,0.036956510428271826,1443.500244140625,7.722951889038086,0.5570293664932251,zone_3_betterave,sen2srlite,2020-02,2020-02-18,2020-02-20,2,0.981685327849642
16.233018703122667,0.03696107945015088,1443.4962158203125,7.784761428833008,0.5596848726272583,zone_3_betterave,sen2srlite,2020-02,2020-02-18,2020-02-25,7,0.981685327849642
16.966204660765424,0.08538340698824506,1838.83837890625,8.018239974975586,0.5639684200286865,zone_3_betterave,sen2srlite,2020-04,2020-04-20,2020-04-05,15,0.981685327849642
32.22297185590404,0.8813582727200747,220.15579223632812,3.973125457763672,0.3429155647754669,zone_3_betterave,bicubic_baseline,2020-04,2020-04-20,2020-04-20,0,0.981685327849642
16.966123564044153,0.08536768457693364,1838.836669921875,6.813504695892334,0.5184080600738525,zone_3_betterave,sen2srlite,2020-04,2020-04-20,2020-04-10,10,0.981685327849642
16.96617651679718,0.08536673371360354,1838.81982421875,5.267719745635986,0.46088913083076477,zone_3_betterave,sen2srlite,2020-04,2020-04-20,2020-04-15,5,0.981685327849642
16.966173100586808,0.08537267487444364,1838.8194580078125,4.4202880859375,0.44299304485321045,zone_3_betterave,sen2srlite,2020-04,2020-04-20,2020-04-20,0,0.981685327849642
16.966195356267118,0.08537508267788885,1838.8076171875,4.999624729156494,0.44848793745040894,zone_3_betterave,sen2srlite,2020-04,2020-04-20,2020-04-25,5,0.981685327849642
16.966213837925842,0.08535878890099978,1838.7884521484375,7.790421009063721,0.46995872259140015,zone_3_betterave,sen2srlite,2020-04,2020-04-20,2020-04-30,10,0.981685327849642
15.8331106387366,0.2273049654101479,2071.087890625,5.745571613311768,0.46502256393432617,zone_3_betterave,sen2srlite,2020-05,2020-05-06,2020-05-05,1,0.981685327849642
27.270045312414297,0.7759897002535431,269.53759765625,4.9773430824279785,0.3682264983654022,zone_3_betterave,bicubic_baseline,2020-05,2020-05-06,2020-05-05,1,0.981685327849642
15.833112714510776,0.22731186695431127,2071.0830078125,5.432980537414551,0.4851006269454956,zone_3_betterave,sen2srlite,2020-05,2020-05-06,2020-05-10,4,0.981685327849642
15.833081949903592,0.2273251855645234,2071.09423828125,5.044001579284668,0.47885462641716003,zone_3_betterave,sen2srlite,2020-05,2020-05-06,2020-05-15,9,0.981685327849642
15.833080060551955,0.22731536865575802,2071.08251953125,5.156083583831787,0.5108550786972046,zone_3_betterave,sen2srlite,2020-05,2020-05-06,2020-05-20,14,0.981685327849642
15.833040968838578,0.2273106968664291,2071.07666015625,5.87200927734375,0.5162554383277893,zone_3_betterave,sen2srlite,2020-05,2020-05-06,2020-05-25,19,0.981685327849642
15.832963397585761,0.22732874078739887,2071.0947265625,5.929828643798828,0.5333074331283569,zone_3_betterave,sen2srlite,2020-05,2020-05-06,2020-05-30,24,0.981685327849642
16.843521131164678,0.01704901334950063,1914.791748046875,7.91428804397583,0.5641692876815796,zone_3_betterave,sen2srlite,2020-06,2020-06-25,2020-06-04,21,0.981685327849642
34.32304172247015,0.9020489545384749,142.8268280029297,1.9962682723999023,0.3203737437725067,zone_3_betterave,bicubic_baseline,2020-06,2020-06-25,2020-06-24,1,0.981685327849642
16.843506078927227,0.017046317844091982,1914.7982177734375,6.52645206451416,0.5328893661499023,zone_3_betterave,sen2srlite,2020-06,2020-06-25,2020-06-09,16,0.981685327849642
16.8434910295779,0.0170436225274382,1914.804443359375,5.058324813842773,0.4971376061439514,zone_3_betterave,sen2srlite,2020-06,2020-06-25,2020-06-14,11,0.981685327849642
16.84347598276928,0.017040928287238008,1914.810791015625,3.5602495670318604,0.4673570394515991,zone_3_betterave,sen2srlite,2020-06,2020-06-25,2020-06-19,6,0.981685327849642
16.8434613983798,0.017038309141470073,1914.817138671875,2.6800789833068848,0.45250511169433594,zone_3_betterave,sen2srlite,2020-06,2020-06-25,2020-06-24,1,0.981685327849642
16.84346973847622,0.01704081496792617,1914.8162841796875,3.078843593597412,0.4584957957267761,zone_3_betterave,sen2srlite,2020-06,2020-06-25,2020-06-29,4,0.981685327849642
15.139303462910053,-0.04072676131128881,1861.333251953125,7.178418159484863,0.5501559972763062,zone_3_betterave,sen2srlite,2020-07,2020-07-21,2020-07-04,17,0.981685327849642
28.277792383278296,0.6424395980891239,282.81427001953125,5.3522467613220215,0.41648995876312256,zone_3_betterave,bicubic_baseline,2020-07,2020-07-21,2020-07-19,2,0.981685327849642
15.139331650577413,-0.04072664972714233,1861.3302001953125,6.433707237243652,0.5296430587768555,zone_3_betterave,sen2srlite,2020-07,2020-07-21,2020-07-09,12,0.981685327849642
15.139359779020582,-0.04072654504293835,1861.3270263671875,5.90474271774292,0.5150654315948486,zone_3_betterave,sen2srlite,2020-07,2020-07-21,2020-07-14,7,0.981685327849642
15.13938792774495,-0.04072643730996126,1861.323974609375,5.797869682312012,0.5085921287536621,zone_3_betterave,sen2srlite,2020-07,2020-07-21,2020-07-19,2,0.981685327849642
15.139404658565653,-0.0407254752014579,1861.324951171875,5.948737144470215,0.5119353532791138,zone_3_betterave,sen2srlite,2020-07,2020-07-21,2020-07-24,3,0.981685327849642
15.139413751540573,-0.040723941519942325,1861.3287353515625,6.502638816833496,0.522445559501648,zone_3_betterave,sen2srlite,2020-07,2020-07-21,2020-07-29,8,0.981685327849642
14.052088367309265,0.0017241571677940534,1848.1966552734375,5.019408226013184,0.46261104941368103,zone_3_betterave,sen2srlite,2020-08,2020-08-08,2020-08-03,5,0.981685327849642
30.42827102794557,0.8139459337444802,168.0850372314453,3.4634809494018555,0.30519458651542664,zone_3_betterave,bicubic_baseline,2020-08,2020-08-08,2020-08-08,0,0.981685327849642
14.052079444639864,0.0017240538342645287,1848.209716796875,4.125432014465332,0.4399797320365906,zone_3_betterave,sen2srlite,2020-08,2020-08-08,2020-08-08,0,0.981685327849642
14.052074421822184,0.0017237961414029862,1848.209716796875,4.759510040283203,0.45756709575653076,zone_3_betterave,sen2srlite,2020-08,2020-08-08,2020-08-13,5,0.981685327849642
14.052059632127047,0.0017235122883663134,1848.2135009765625,4.847021102905273,0.4552629590034485,zone_3_betterave,sen2srlite,2020-08,2020-08-08,2020-08-18,10,0.981685327849642
14.052045015996843,0.0017232584575476925,1848.2171630859375,5.065930366516113,0.4597132205963135,zone_3_betterave,sen2srlite,2020-08,2020-08-08,2020-08-23,15,0.981685327849642
14.052030349729286,0.0017229983081651704,1848.220947265625,5.380469799041748,0.4704587161540985,zone_3_betterave,sen2srlite,2020-08,2020-08-08,2020-08-28,20,0.981685327849642
12.95827118051729,-0.15284753089721076,1829.444580078125,8.372356414794922,0.5349721312522888,zone_3_betterave,sen2srlite,2020-09,2020-09-14,2020-09-02,12,0.981685327849642
22.278863885255742,0.310872554762728,384.5419616699219,8.736710548400879,0.4293023645877838,zone_3_betterave,bicubic_baseline,2020-09,2020-09-14,2020-09-12,2,0.981685327849642
12.958262959848298,-0.15284842143957605,1829.44775390625,8.456400871276855,0.5347031354904175,zone_3_betterave,sen2srlite,2020-09,2020-09-14,2020-09-07,7,0.981685327849642
12.95826672030907,-0.1528488050151122,1829.443603515625,9.030935287475586,0.5167139172554016,zone_3_betterave,sen2srlite,2020-09,2020-09-14,2020-09-12,2,0.981685327849642
12.958296968797875,-0.15284992882217863,1829.447509765625,6.7016143798828125,0.5136129856109619,zone_3_betterave,sen2srlite,2020-09,2020-09-14,2020-09-17,3,0.981685327849642
12.958286631439034,-0.15284408728727994,1829.4486083984375,8.543349266052246,0.5534971952438354,zone_3_betterave,sen2srlite,2020-09,2020-09-14,2020-09-22,8,0.981685327849642
12.958264605379762,-0.15284533410761258,1829.4517822265625,7.959893703460693,0.555574893951416,zone_3_betterave,sen2srlite,2020-09,2020-09-14,2020-09-27,13,0.981685327849642
17.836870740491737,0.13126228133258458,1270.2562255859375,9.425149917602539,0.6161561608314514,zone_3_betterave,sen2srlite,2020-10,2020-10-31,2020-10-02,29,0.981685327849642
28.45714016305368,0.8106089572788672,281.8133544921875,5.161790370941162,0.5252625942230225,zone_3_betterave,bicubic_baseline,2020-10,2020-10-31,2020-11-01,1,0.981685327849642
17.836842049896596,0.13125918986573643,1270.258544921875,8.666607856750488,0.6100600361824036,zone_3_betterave,sen2srlite,2020-10,2020-10-31,2020-10-07,24,0.981685327849642
17.83681331326973,0.13125608865196497,1270.260986328125,7.919985294342041,0.6052249670028687,zone_3_betterave,sen2srlite,2020-10,2020-10-31,2020-10-12,19,0.981685327849642
17.836784592980273,0.13125299209510305,1270.2633056640625,7.201902866363525,0.6005684733390808,zone_3_betterave,sen2srlite,2020-10,2020-10-31,2020-10-17,14,0.981685327849642
17.836755898180012,0.13124990284240518,1270.265625,6.542726516723633,0.5971750020980835,zone_3_betterave,sen2srlite,2020-10,2020-10-31,2020-10-22,9,0.981685327849642
17.836727155571367,0.13124680368603692,1270.26806640625,5.986622333526611,0.5954105854034424,zone_3_betterave,sen2srlite,2020-10,2020-10-31,2020-10-27,4,0.981685327849642
21.24598812586455,0.3671086271429624,1158.4755859375,10.293408393859863,0.7276833057403564,zone_3_betterave,sen2srlite,2020-11,2020-11-28,2020-11-01,27,0.981685327849642
28.14615994563399,0.700526572295204,224.15316772460938,10.291232109069824,0.6327879428863525,zone_3_betterave,bicubic_baseline,2020-11,2020-11-28,2020-11-26,2,0.981685327849642
21.245934701241204,0.3671006367743741,1158.4783935546875,10.039671897888184,0.7210766673088074,zone_3_betterave,sen2srlite,2020-11,2020-11-28,2020-11-06,22,0.981685327849642
21.245880142325735,0.3670921929786449,1158.481689453125,9.888129234313965,0.7123813629150391,zone_3_betterave,sen2srlite,2020-11,2020-11-28,2020-11-11,17,0.981685327849642
21.245825615474,0.3670837639789506,1158.485107421875,9.944726943969727,0.701404333114624,zone_3_betterave,sen2srlite,2020-11,2020-11-28,2020-11-16,12,0.981685327849642
21.24577863633068,0.3670747083384524,1158.49072265625,10.176145553588867,0.6884142160415649,zone_3_betterave,sen2srlite,2020-11,2020-11-28,2020-11-21,7,0.981685327849642
21.245737365194678,0.3670653764253095,1158.497802734375,11.018058776855469,0.6932076215744019,zone_3_betterave,sen2srlite,2020-11,2020-11-28,2020-11-26,2,0.981685327849642
16.232870499795467,0.0369443589908883,1443.5123291015625,7.7328782081604,0.574236273765564,zone_3_betterave,sen2sr,2020-02,2020-02-18,2020-02-05,13,0.981685327849642
16.232899898731834,0.03694754964769119,1443.5084228515625,7.719472885131836,0.5727313756942749,zone_3_betterave,sen2sr,2020-02,2020-02-18,2020-02-10,8,0.981685327849642
16.23293947996425,0.03695208610367433,1443.50439453125,7.672583103179932,0.5697153806686401,zone_3_betterave,sen2sr,2020-02,2020-02-18,2020-02-15,3,0.981685327849642
16.232978937084486,0.03695661044256583,1443.5003662109375,7.703370571136475,0.5690253973007202,zone_3_betterave,sen2sr,2020-02,2020-02-18,2020-02-20,2,0.981685327849642
16.233018493908816,0.03696115754785207,1443.4962158203125,7.771872520446777,0.5709398984909058,zone_3_betterave,sen2sr,2020-02,2020-02-18,2020-02-25,7,0.981685327849642
16.966204384694684,0.08538349844174556,1838.8385009765625,8.091339111328125,0.5776170492172241,zone_3_betterave,sen2sr,2020-04,2020-04-20,2020-04-05,15,0.981685327849642
