PSNR,SSIM,RMSE,SAM,LPIPS,zone,model,month,ps_date,sr_date,delta_days,coverage
15.637997236693593,0.023039496272504047,1656.1497802734375,7.665484428405762,0.5581178069114685,zone_4_betterave,sen2srlite,2020-02,2020-02-18,2020-02-05,13,0.9816298861176423
23.204133870908628,0.7002849737354695,462.1867980957031,7.58653450012207,0.4512903690338135,zone_4_betterave,bicubic_baseline,2020-02,2020-02-18,2020-02-20,2,0.9816298861176423
15.638018541982381,0.02304244963327426,1656.1455078125,7.8522748947143555,0.5588972568511963,zone_4_betterave,sen2srlite,2020-02,2020-02-18,2020-02-10,8,0.9816298861176423
15.638041244125894,0.023046460267194806,1656.14208984375,7.837762832641602,0.5564330816268921,zone_4_betterave,sen2srlite,2020-02,2020-02-18,2020-02-15,3,0.9816298861176423
15.638063844866025,0.02305045891676545,1656.1387939453125,7.939818382263184,0.5564088225364685,zone_4_betterave,sen2srlite,2020-02,2020-02-18,2020-02-20,2,0.9816298861176423
15.638086544172042,0.023054478280083456,1656.1353759765625,8.115026473999023,0.5600944757461548,zone_4_betterave,sen2srlite,2020-02,2020-02-18,2020-02-25,7,0.9816298861176423
15.614157316694197,0.07186629022168592,2046.0291748046875,8.053460121154785,0.5490830540657043,zone_4_betterave,sen2srlite,2020-04,2020-04-20,2020-04-05,15,0.9816298861176423
33.059724682182775,0.9088124519724325,190.45724487304688,3.010564088821411,0.2609253525733948,zone_4_betterave,bicubic_baseline,2020-04,2020-04-20,2020-04-20,0,0.9816298861176423
15.614172053144943,0.07185986159729754,2046.0185546875,7.188456058502197,0.49875736236572266,zone_4_betterave,sen2srlite,2020-04,2020-04-20,2020-04-10,10,0.9816298861176423
15.614218687224334,0.07186359497960189,2045.9998779296875,4.872567176818848,0.44540879130363464,zone_4_betterave,sen2srlite,2020-04,2020-04-20,2020-04-15,5,0.9816298861176423
15.61415378536468,0.07185872063243881,2046.0086669921875,3.2939817905426025,0.402264803647995,zone_4_betterave,sen2srlite,2020-04,2020-04-20,2020-04-20,0,0.9816298861176423
15.614131329382825,0.07185444644972691,2046.000732421875,4.40242862701416,0.46681299805641174,zone_4_betterave,sen2srlite,2020-04,2020-04-20,2020-04-25,5,0.9816298861176423
15.614114099942398,0.0718450943040371,2045.98486328125,6.500497341156006,0.4862627685070038,zone_4_betterave,sen2srlite,2020-04,2020-04-20,2020-04-30,10,0.9816298861176423
17.357386102980765,0.16556025507648134,2116.8046875,4.093871116638184,0.45345571637153625,zone_4_betterave,sen2srlite,2020-05,2020-05-06,2020-05-05,1,0.9816298861176423
28.541506461577008,0.8577310243357634,245.3415069580078,3.8067338466644287,0.3338460624217987,zone_4_betterave,bicubic_baseline,2020-05,2020-05-06,2020-05-05,1,0.9816298861176423
17.35735762686519,0.16556430522934312,2116.802001953125,3.7788760662078857,0.472451776266098,zone_4_betterave,sen2srlite,2020-05,2020-05-06,2020-05-10,4,0.9816298861176423
17.35726548265478,0.1655547644580775,2116.816162109375,4.161294460296631,0.47866228222846985,zone_4_betterave,sen2srlite,2020-05,2020-05-06,2020-05-15,9,0.9816298861176423
17.357260506383057,0.16555257550448785,2116.809814453125,4.321086883544922,0.47332286834716797,zone_4_betterave,sen2srlite,2020-05,2020-05-06,2020-05-20,14,0.9816298861176423
17.357229104000357,0.16555449262323835,2116.80859375,4.9302592277526855,0.5244263410568237,zone_4_betterave,sen2srlite,2020-05,2020-05-06,2020-05-25,19,0.9816298861176423
17.357219321040393,0.1655637641417727,2116.81591796875,5.6377763748168945,0.5393835306167603,zone_4_betterave,sen2srlite,2020-05,2020-05-06,2020-05-30,24,0.9816298861176423
15.161672888916554,-0.018522449736765943,1879.6826171875,9.99571418762207,0.620679497718811,zone_4_betterave,sen2srlite,2020-06,2020-06-25,2020-06-04,21,0.9816298861176423
33.46029960797432,0.9077633643518892,147.63650512695312,1.8910726308822632,0.2959873676300049,zone_4_betterave,bicubic_baseline,2020-06,2020-06-25,2020-06-24,1,0.9816298861176423
15.161683262374941,-0.018522370907208985,1879.6905517578125,8.133338928222656,0.5876202583312988,zone_4_betterave,sen2srlite,2020-06,2020-06-25,2020-06-09,16,0.9816298861176423
15.16169363463181,-0.0185222950040292,1879.69873046875,6.0857977867126465,0.543728232383728,zone_4_betterave,sen2srlite,2020-06,2020-06-25,2020-06-14,11,0.9816298861176423
15.161704005603095,-0.018522219857695726,1879.706787109375,3.901989459991455,0.488111674785614,zone_4_betterave,sen2srlite,2020-06,2020-06-25,2020-06-19,6,0.9816298861176423
15.161714788845472,-0.018522093047965357,1879.71484375,2.292229652404785,0.46149134635925293,zone_4_betterave,sen2srlite,2020-06,2020-06-25,2020-06-24,1,0.9816298861176423
15.161748200523903,-0.018516935742590168,1879.7109375,2.637439250946045,0.4783596098423004,zone_4_betterave,sen2srlite,2020-06,2020-06-25,2020-06-29,4,0.9816298861176423
13.319014550414314,-0.011985538158380181,1912.900634765625,6.452164649963379,0.5673164129257202,zone_4_betterave,sen2srlite,2020-07,2020-07-21,2020-07-04,17,0.9816298861176423
27.539680585488497,0.7477450995922891,276.4499816894531,4.411954879760742,0.3843153119087219,zone_4_betterave,bicubic_baseline,2020-07,2020-07-21,2020-07-19,2,0.9816298861176423
13.319053801854817,-0.011982856444309964,1912.8946533203125,5.547332763671875,0.5383578538894653,zone_4_betterave,sen2srlite,2020-07,2020-07-21,2020-07-09,12,0.9816298861176423
13.319093003486396,-0.011980182086365455,1912.8887939453125,4.927466869354248,0.5183255672454834,zone_4_betterave,sen2srlite,2020-07,2020-07-21,2020-07-14,7,0.9816298861176423
