PSNR,SSIM,RMSE,SAM,LPIPS,PSNR_B2,SSIM_B2,PSNR_B3,SSIM_B3,PSNR_B4,SSIM_B4,PSNR_B8,SSIM_B8,zone,model,month,ps_date,sr_date,delta_days,coverage
34.294995639961755,0.8230457305908203,156.97372436523438,1.9994128942489624,0.5910866856575012,40.44597688071521,0.9280521273612976,36.66372794110354,0.8799152970314026,34.563473723363145,0.8463313579559326,25.50680401466511,0.6378841400146484,zone_1_peuplier,sen2srlite,2020-02,2020-02-18,2020-02-20,2,0.9871208776834911
34.09099855099012,0.8479475229978561,133.08982849121094,1.9210776090621948,0.5625966191291809,39.723584736906844,0.9398161768913269,36.4794570918658,0.9057739973068237,34.17601570474657,0.8769404292106628,25.984936670441286,0.6692594885826111,zone_1_peuplier,bicubic_baseline,2020-02,2020-02-18,2020-02-20,2,0.9871208776834911
38.77040566231275,0.9329865127801895,130.63072204589844,1.4659876823425293,0.36946046352386475,44.906043189693705,0.9722662568092346,41.619083404883284,0.9570958018302917,39.86523936323065,0.9539785981178284,28.691256691443364,0.8486053943634033,zone_1_peuplier,sen2srlite,2020-04,2020-04-20,2020-04-20,0,0.9871208776834911
38.63245321631398,0.9063790440559387,122.44403076171875,1.368970274925232,0.2971827983856201,44.56930782995286,0.9750553369522095,41.77678083095192,0.9629807472229004,40.23366980513134,0.9589044451713562,27.950054399219812,0.7285756468772888,zone_1_peuplier,bicubic_baseline,2020-04,2020-04-20,2020-04-20,0,0.9871208776834911
35.97281149682718,0.8745474517345428,199.56105041503906,1.4844410419464111,0.4142417311668396,42.22354391354842,0.9582352638244629,38.99828849668812,0.9330838918685913,37.25739393475849,0.929007887840271,25.412019642313666,0.6778627634048462,zone_1_peuplier,sen2srlite,2020-05,2020-05-06,2020-05-05,1,0.9871208776834911
35.59664875937792,0.8775700926780701,173.22071838378906,1.3732354640960693,0.36623722314834595,41.320683389163946,0.9641571640968323,38.572354164033214,0.9471489191055298,36.98192233125347,0.9422160983085632,25.51163515306105,0.656758189201355,zone_1_peuplier,bicubic_baseline,2020-05,2020-05-06,2020-05-05,1,0.9871208776834911
33.14757877412643,0.8507784456014633,232.92596435546875,2.657376766204834,0.42498117685317993,39.062038431840605,0.939314603805542,36.03252517897653,0.9175090789794922,32.813445055966795,0.8930649161338806,24.6823064297218,0.6532251834869385,zone_1_peuplier,sen2srlite,2020-06,2020-06-25,2020-06-24,1,0.9871208776834911
36.06946848484374,0.9012249708175659,155.04551696777344,1.603615164756775,0.2769691050052643,41.66695716015742,0.9658099412918091,38.74352132898506,0.9522929191589355,37.11391662435933,0.9476274251937866,26.753478825873152,0.7391695976257324,zone_1_peuplier,bicubic_baseline,2020-06,2020-06-25,2020-06-24,1,0.9871208776834911
31.93273681187339,0.7896361872553825,265.65191650390625,3.0004892349243164,0.46100375056266785,37.355645886857246,0.9098564982414246,35.9540711730922,0.9046131372451782,32.5871343151824,0.8643766045570374,21.834095872361722,0.47969850897789,zone_1_peuplier,sen2srlite,2020-07,2020-07-21,2020-07-19,2,0.9871208776834911
32.919647491117935,0.8473891913890839,202.575927734375,2.337414503097534,0.35967785120010376,38.110401624135065,0.9353762865066528,36.779483348490004,0.935785174369812,33.77121621560508,0.9046768546104431,23.017488776241592,0.6137184500694275,zone_1_peuplier,bicubic_baseline,2020-07,2020-07-21,2020-07-19,2,0.9871208776834911
34.286001571466436,0.888809397816658,164.2544708251953,2.084054470062256,0.4090387225151062,39.75881346522914,0.9446725845336914,36.79739089104287,0.9302489161491394,33.60969754359615,0.9140371084213257,26.978104385997568,0.7662789821624756,zone_1_peuplier,sen2srlite,2020-08,2020-08-08,2020-08-08,0,0.9871208776834911
