experiment,resolution,band_recipe,patch_size,image_channels,total_params,trainable_params,best_epoch,train_MAE,train_RMSE,train_R2,val_MAE,val_RMSE,val_R2,test_MAE,test_RMSE,test_R2
E1,lr,raw10,128,10,168921,168921,21,12.667953883668337,19.53651486277429,0.7381597732519207,16.553708732976943,24.544114134373984,0.5540392842804226,17.989415719516966,24.39528150288673,0.6284777975281728
E2,lr,paper_indices,128,8,168489,168489,31,13.330177057985615,20.78870972250244,0.7035187353523149,16.108211104628406,25.139352621498674,0.5321463095252854,19.75767423362847,28.137089296082173,0.5057673383861105
E3,sr,raw10,256,10,168921,168921,22,13.821805693905246,20.26358979619585,0.7183077136455797,13.677883308145065,21.605753393194803,0.6544262787136687,18.293740175991204,24.224059509837694,0.6336746659475696
E4,sr,paper_indices,256,8,168489,168489,37,9.936853591391372,17.79590457369772,0.7827387265512182,15.358829345884203,23.061264798567688,0.6062975428708247,17.495810385009175,22.844569890195952,0.6742090048175159
