epoch,train_loss,validation_loss,train_MAE,validation_MAE,train_RMSE,validation_RMSE,train_R2,validation_R2,lr
1,34.75492567765085,27.421425819396973,35.885353088378906,27.93522834777832,50.311017544153536,42.114250645379826,-0.7364743947982788,-0.312985897064209,0.001
2,31.838412887171696,27.156626510620118,33.353816986083984,27.697858810424805,46.36815039543577,39.4735637033865,-0.47496509552001953,-0.15349197387695312,0.001
3,32.24496781198602,26.94986743927002,33.578834533691406,27.46929931640625,45.396266861074324,38.093400711072974,-0.413782000541687,-0.07424020767211914,0.001
4,30.359129855507298,27.14357147216797,31.65748405456543,27.68881607055664,43.29684539650738,36.97552010336112,-0.2860405445098877,-0.012116432189941406,0.001
5,30.892907293219317,23.650894165039062,30.04100799560547,24.19144630432129,41.735322668012586,35.734819083379655,-0.19495010375976562,0.05466645956039429,0.001
6,29.906107250012848,21.207975006103517,28.367069244384766,21.759475708007812,39.17282077787241,31.346091520527423,-0.05271756649017334,0.272607684135437,0.001
7,23.886413460107224,22.583389663696288,25.600461959838867,23.105871200561523,36.26824870679328,31.457191079393418,0.09760773181915283,0.26744234561920166,0.001
8,25.14445686340332,17.223645401000976,25.038986206054688,17.74197006225586,34.66364255577268,26.629766619609036,0.17568999528884888,0.4750273823738098,0.001
9,23.63696780957674,20.180574417114258,23.6231746673584,20.671873092651367,33.729279663826574,27.492579343257564,0.21952974796295166,0.4404577612876892,0.001
10,22.82423169989335,19.155010223388672,24.363990783691406,19.643756866455078,32.06503934266844,30.92028897050497,0.29464834928512573,0.2922351360321045,0.001
11,23.43319983231394,15.781145286560058,24.732440948486328,16.30409812927246,34.255053516324416,24.962686998548453,0.19500815868377686,0.5386987924575806,0.001
12,21.328644903082598,15.885014152526855,22.8724308013916,16.280109405517578,33.40889912905879,26.57614194725753,0.23428618907928467,0.47713953256607056,0.001
13,23.10769944441946,16.038183403015136,21.90521240234375,16.4873046875,31.25258094810681,24.075669843598718,0.3299395442008972,0.5708998441696167,0.001
14,19.289514842786286,14.60689182281494,20.23301124572754,15.09194564819336,27.815961643775122,24.49381349267734,0.4692007303237915,0.5558652877807617,0.001
15,20.24502954984966,14.719991874694824,21.036584854125977,15.209771156311035,30.130845638427058,22.957187778626654,0.3771767020225525,0.6098431348800659,0.001
16,18.35584555174175,13.14427375793457,19.03226661682129,13.643589973449707,27.686800084621215,21.13850359482704,0.474118709564209,0.6692115068435669,0.001
17,18.24442481994629,15.023336029052734,18.978254318237305,15.487791061401367,28.510860047094337,22.335261854725157,0.44234853982925415,0.6306959986686707,0.001
18,16.40914339768259,13.817608070373534,17.64974021911621,14.296369552612305,25.72022844702565,22.66717947585506,0.5461714267730713,0.619638204574585,0.001
19,17.78068427035683,12.653180885314942,17.883665084838867,13.088580131530762,26.3360777121008,20.418580423566958,0.524178147315979,0.6913594603538513,0.001
20,21.405576103611995,15.9332426071167,21.564849853515625,16.482637405395508,30.214115264731298,23.927284710415456,0.3737294673919678,0.5761728286743164,0.001
21,21.66594510329397,13.256165885925293,19.301095962524414,13.768706321716309,25.891234386687827,20.970737232352118,0.5401166677474976,0.6744413375854492,0.001
