date_reference,date_sr,ecart_jours_sr_reference,modele,psnr,ssim,rmse,sam,lpips
06/05/2020,06/05/2020,1,interpolation_directe,35.40049524576253,0.9148842293207561,121.60645294189453,1.3680249452590942,0.10239633917808533
06/05/2020,05/05/2020,1,ldsr,35.81232957299383,0.9285219649187708,133.25669860839844,1.4796541929244995,0.32681649923324585
06/05/2020,10/05/2020,4,sen2sr,35.90428774546514,0.9293907967877012,148.20571899414062,1.5923733711242676,0.33838096261024475
06/05/2020,10/05/2020,4,sen2srlite,36.074315520279626,0.9327305070502259,140.252685546875,1.5658824443817139,0.33739909529685974
08/08/2020,08/08/2020,5,interpolation_directe,36.38842529151049,0.9420166611522423,87.36892700195312,1.134790062904358,0.06320050358772278
08/08/2020,03/08/2020,5,ldsr,35.30868741163427,0.9374724044986487,115.42221069335938,1.4525271654129028,0.3358132839202881
08/08/2020,03/08/2020,5,sen2sr,35.414702105939384,0.9439504371211292,123.44060516357422,1.4957566261291504,0.3320399820804596
08/08/2020,03/08/2020,5,sen2srlite,35.607519041099216,0.9476517141143836,117.69400787353516,1.4419677257537842,0.32778283953666687
18/02/2020,18/02/2020,3,interpolation_directe,29.921948679707178,0.8643712414107028,188.25779724121094,2.660989999771118,0.12041527032852173
18/02/2020,15/02/2020,3,ldsr,30.747222806599236,0.8830218611172064,182.34642028808594,2.579505443572998,0.36191487312316895
18/02/2020,15/02/2020,3,sen2sr,30.67680843719699,0.8858991263933372,190.2144012451172,2.700908660888672,0.3702716827392578
18/02/2020,15/02/2020,3,sen2srlite,30.758948300714355,0.88842090027028,184.12124633789062,2.6417622566223145,0.36551955342292786
20/04/2020,20/04/2020,5,interpolation_directe,39.20881127694488,0.9385072044454282,81.34004211425781,1.016991376876831,0.07625633478164673
20/04/2020,15/04/2020,5,ldsr,32.64572150832858,0.9309223210264057,158.37026977539062,1.7418397665023804,0.341562956571579
20/04/2020,15/04/2020,5,sen2sr,32.5905071282181,0.932454544266538,164.7834930419922,1.8198063373565674,0.35191452503204346
20/04/2020,15/04/2020,5,sen2srlite,32.711996331417744,0.9349785067551604,159.3293914794922,1.7613475322723389,0.348953515291214
31/10/2020,31/10/2020,1,interpolation_directe,29.8830852033663,0.8692285714635577,240.48287963867188,3.557659387588501,0.13565605878829956
31/10/2020,01/11/2020,1,ldsr,30.733440467855136,0.8926878045956805,256.9151306152344,3.948265552520752,0.388677716255188
31/10/2020,01/11/2020,1,sen2sr,30.70275855696884,0.8908592036928422,262.38873291015625,4.068462371826172,0.3948427438735962
31/10/2020,01/11/2020,1,sen2srlite,30.74652678702666,0.8942829985229992,257.76007080078125,4.0063700675964355,0.3840236961841583
