zone,modele,position_paire,date_reference,date_sr,ecart_jours_sr_reference,psnr,ssim,rmse,sam,lpips
zone_2_betterave,interpolation_directe,baseline,06/05/2020,06/05/2020,0,35.40049524576253,0.9148842293207561,121.60645294189453,1.3680249452590942,0.10239633917808533
zone_2_betterave,ldsr,after,06/05/2020,10/05/2020,4,35.939490187090925,0.9284003252776686,135.64910888671875,1.580435872077942,0.3255349397659302
zone_2_betterave,ldsr,before,06/05/2020,05/05/2020,1,35.81232957299383,0.9285219649187708,133.25669860839844,1.4796541929244995,0.32681649923324585
zone_2_betterave,sen2sr,after,06/05/2020,10/05/2020,4,35.90428774546514,0.9293907967877012,148.20571899414062,1.5923733711242676,0.33838096261024475
zone_2_betterave,sen2sr,before,06/05/2020,05/05/2020,1,35.73320923382786,0.9291916242326856,147.13169860839844,1.5336652994155884,0.3386642336845398
zone_2_betterave,sen2srlite,after,06/05/2020,10/05/2020,4,36.074315520279626,0.9327305070502259,140.252685546875,1.5658824443817139,0.33739909529685974
zone_2_betterave,sen2srlite,before,06/05/2020,05/05/2020,1,35.93500488067798,0.9326413596515783,138.26202392578125,1.4975786209106445,0.33768242597579956
zone_2_betterave,interpolation_directe,baseline,08/08/2020,08/08/2020,0,36.38842529151049,0.9420166611522423,87.36892700195312,1.134790062904358,0.06320050358772278
zone_2_betterave,ldsr,after,08/08/2020,13/08/2020,5,29.904899410037302,0.9210876471846229,218.95481872558594,1.7801202535629272,0.3438628017902374
zone_2_betterave,ldsr,before,08/08/2020,03/08/2020,5,35.30868741163427,0.9374724044986487,115.42221069335938,1.4525271654129028,0.3358132839202881
zone_2_betterave,sen2sr,after,08/08/2020,13/08/2020,5,30.000484048760338,0.9274213955886692,220.13552856445312,1.7953109741210938,0.34112799167633057
zone_2_betterave,sen2sr,before,08/08/2020,03/08/2020,5,35.414702105939384,0.9439504371211292,123.44060516357422,1.4957566261291504,0.3320399820804596
zone_2_betterave,sen2srlite,after,08/08/2020,13/08/2020,5,30.05981325475556,0.9311810196348774,217.01055908203125,1.7409734725952148,0.3362594246864319
zone_2_betterave,sen2srlite,before,08/08/2020,03/08/2020,5,35.607519041099216,0.9476517141143836,117.69400787353516,1.4419677257537842,0.32778283953666687
zone_2_betterave,interpolation_directe,baseline,18/02/2020,18/02/2020,0,29.921948679707178,0.8643712414107028,188.25779724121094,2.660989999771118,0.12041527032852173
zone_2_betterave,ldsr,after,18/02/2020,20/02/2020,2,30.508044008602475,0.8808660156791527,188.38792419433594,2.6441900730133057,0.3652194142341614
zone_2_betterave,ldsr,before,18/02/2020,15/02/2020,3,30.747222806599236,0.8830218611172064,182.34642028808594,2.579505443572998,0.36191487312316895
zone_2_betterave,sen2sr,after,18/02/2020,20/02/2020,2,30.446128488707075,0.8835953667779031,195.33013916015625,2.7417171001434326,0.3735808730125427
zone_2_betterave,sen2sr,before,18/02/2020,15/02/2020,3,30.67680843719699,0.8858991263933372,190.2144012451172,2.700908660888672,0.3702716827392578
zone_2_betterave,sen2srlite,after,18/02/2020,20/02/2020,2,30.522203731202247,0.8860529465756386,189.60328674316406,2.6903653144836426,0.3689723014831543
zone_2_betterave,sen2srlite,before,18/02/2020,15/02/2020,3,30.758948300714355,0.88842090027028,184.12124633789062,2.6417622566223145,0.36551955342292786
zone_2_betterave,interpolation_directe,baseline,20/04/2020,20/04/2020,0,39.20881127694488,0.9385072044454282,81.34004211425781,1.016991376876831,0.07625633478164673
zone_2_betterave,ldsr,after,20/04/2020,25/04/2020,5,32.70934862820866,0.9038823246709315,158.61392211914062,2.2310311794281006,0.345665842294693
zone_2_betterave,ldsr,before,20/04/2020,15/04/2020,5,32.64572150832858,0.9309223210264057,158.37026977539062,1.7418397665023804,0.341562956571579
zone_2_betterave,sen2sr,after,20/04/2020,25/04/2020,5,32.6107701821441,0.9070211617428233,169.93858337402344,2.258216381072998,0.35263699293136597
zone_2_betterave,sen2sr,before,20/04/2020,15/04/2020,5,32.5905071282181,0.932454544266538,164.7834930419922,1.8198063373565674,0.35191452503204346
zone_2_betterave,sen2srlite,after,20/04/2020,25/04/2020,5,32.793079432530334,0.9110828178063922,161.73133850097656,2.2211437225341797,0.3490753173828125
zone_2_betterave,sen2srlite,before,20/04/2020,15/04/2020,5,32.711996331417744,0.9349785067551604,159.3293914794922,1.7613475322723389,0.348953515291214
zone_2_betterave,interpolation_directe,baseline,31/10/2020,31/10/2020,0,29.8830852033663,0.8692285714635577,240.48287963867188,3.557659387588501,0.13565605878829956
zone_2_betterave,ldsr,after,31/10/2020,01/11/2020,1,30.733440467855136,0.8926878045956805,256.9151306152344,3.948265552520752,0.388677716255188
zone_2_betterave,ldsr,before,31/10/2020,27/10/2020,4,30.698491388048176,0.8911263360626381,262.3667907714844,4.188230514526367,0.3876808285713196
zone_2_betterave,sen2sr,after,31/10/2020,01/11/2020,1,30.70275855696884,0.8908592036928422,262.38873291015625,4.068462371826172,0.3948427438735962
zone_2_betterave,sen2sr,before,31/10/2020,27/10/2020,4,30.678776248295826,0.8894506469702004,267.6378479003906,4.311635494232178,0.39422160387039185
zone_2_betterave,sen2srlite,after,31/10/2020,01/11/2020,1,30.74652678702666,0.8942829985229992,257.76007080078125,4.0063700675964355,0.3840236961841583
zone_2_betterave,sen2srlite,before,31/10/2020,27/10/2020,4,30.7180431305073,0.8926648969859259,263.3186340332031,4.252206802368164,0.38516297936439514
